Abbr,Description
АУ,автономное учреждение
АУК,автономное учреждение культуры
БУ,бюджетное учреждение
БУК,бюджетное учреждение культуры
ГАОУ ВО,государственное автономное образовательное учреждение высшего образования
ГАОУ ДПО,государственное автономное образовательное учреждение дополнительного профессионального образования
ГАПОУ,государственное автономное профессиональное образовательное учреждение
ГАУК,государственное автономное учреждение культуры
ГБОУ,государственное бюджетное образовательное учреждение
ГБПОУ,государственное бюджетное профессиональное образовательное учреждение
ГБУ,государственное бюджетное учреждение
ГБУК,государственное бюджетное учреждение культуры
ГКБУ,государственное краевое бюджетное учреждение
ГКБУК,государственное краевое бюджетное учреждение культуры
ГКУ,государственное казённое учреждение
ГКУК,государственное казённое учреждение культуры
ГОБУК,государственное образовательное бюджетное учреждение культуры
ГОУ ВО,государственное образовательное учреждение высшего образования
ГОУ ВПО,государственное образовательное учреждение высшего профессионального образования
ГПОУ,государственное профессиональное образовательное учреждение
ГУ,государственное учреждение
ГУК,государственное учреждение культуры
КГАУК,краевое государственное автономное учреждение культуры
КГБНУК,краевое государственное бюджетное научное учреждение культуры
КГБУ,краевое государственное бюджетное учреждение
КГКУ,краевое государственное казённое учреждение
КГУ,краевое государственное учреждение
МАОУ,муниципальное автономное общеобразовательное учреждение
МАУ,муниципальное автономное учреждение
МАУК,муниципальное автономное учреждение культуры
МБОУ,муниципальное бюджетное общеобразовательное учреждение
МБУ,муниципальное бюджетное учреждение
МБУДО,муниципальное бюджетное учреждение дополнительного образования
МБУК,муниципальное бюджетное учреждение культуры
МБУКДО,муниципальное бюджетное учреждение культуры дополнительного образования
МКУ,муниципальное казённое учреждение
МКУК,муниципальное казённое учреждение культуры
МУ,муниципальное учреждение
МУК,муниципальное учреждение культуры
НОУ ВПО,негосударственное образовательное учреждение высшего профессионального образования
ОАНО,общеобразовательная автономная некоммерческая организация
ОБУК,областное бюджетное учреждение культуры
ОГАУК,областное государственное автономное учреждение культуры
ОГБУК,областное государственное бюджетное учреждение культуры
ОГКУК,областное государственное казённое учреждение культуры
ФГАОУ ВО,федеральное государственное автономное образовательное учреждение высшего образования
ФГАОУ ВПО,федеральное государственное автономное образовательное учреждение высшего профессионального образования
ФГБВОУ ВО,федеральное государственное бюджетное военное образовательное учреждение высшего образования
ФГБНИУ,федеральное государственное бюджетное научно-исследовательское учреждение
ФГБНУ,федеральное государственное бюджетное научное учреждение
ФГБОУ,федеральное государственное бюджетное образовательное учреждение
ФГБУ,федеральное государственное бюджетное учреждение
ФГБУК,федеральное государственное бюджетное учреждение культуры
ФГБУН,федеральное государственное бюджетное учреждение науки
ФГКВОУ,федеральное государственное казённое военное образовательное учреждение
ФГКОУ,федеральное государственное казённое образовательное учреждение
ФГОУ,федеральное государственное образовательное учреждение
ФГУ,федеральное государственное учреждение
ФГУП,федеральное государственное унитарное предприятие
ФКУ,федеральное казённое учреждение
ФКУК,федеральное казённое учреждение культуры
ЧПОУ,частное профессиональное образовательное учреждение
ВПО,
ГОУ,
СОШ,
МКО,
ФКОУ ВПО,
НОУ,
МОУ,
СШ,
ВО,
БОУ,
ГТУ,
ГПУ,
НИУ,
НУ,
ТУ,
НТУ,
СОУ,
ПУ,
КГБ,
